PRODUTO;NOME_GENERICO;NOME_MEDICAMENTO;QUANTIDADE;FAIXA_ETARIA;REG_INFARMED;AREA_TERAPEUTICA;LOTE;Dosagem;TEMPERATURA;PRECO;ADMINISTRACAO;RECEITA;GENERICO;FORMATO
10067;Paroxetina;Paxetil;3;9;826635423;13;;2 mg/ml;6;24,00;5;0;0;207
10068;Paroxetina;Seroxat;15;5;168946190;14;;20 mg;3;107,00;2;0;0;56
10069;Paroxetina;Seroxat;10;11;819002444;12;;2 mg/ml;1;50,00;6;0;0;207
10070;Paroxetina;Stiliden;11;7;470496528;20;;10 mg/ml;3;144,00;4;0;0;103
10071;Paroxetina;Voltak;2;4;793434115;0;;10 mg;5;105,00;2;1;1;41
10072;Paroxetina;Voltak;11;5;472361484;11;;20 mg;4;45,00;2;1;1;41
10073;Paroxetina;Voltak;7;3;450110577;11;;30 mg;5;124,00;2;1;1;41
10074;Paroxetina;Zanoxina;3;3;442524952;18;;20 mg;0;14,00;2;1;1;56
10075;Pazopanib;Votrient;5;5;973132047;20;;200 mg;7;35,00;2;0;0;56
10076;Pazopanib;Votrient;1;9;453890842;4;;400 mg;7;38,00;2;0;0;56
10077;Pegaptanib;Macugen;9;3;297630205;18;;0.3 mg/0.09 ml;3;21,00;7;0;0;177
10078;Pegfilgrastim;Neulasta;10;1;481785964;19;;6 mg/0.6 ml;1;52,00;2;0;0;177
10079;Peginterferao alfa-2a;Pegasys;6;10;599235936;1;;0.135 mg/0.5 ml;4;92,00;13;0;0;177
10080;Peginterferao alfa-2a;Pegasys;11;11;578376399;1;;0.135 mg/ml;5;71,00;7;0;0;177
10081;Peginterferao alfa-2a;Pegasys;1;6;211195459;11;;0.18 mg/0.5 ml;3;139,00;6;0;0;177
10082;Peginterferao alfa-2a;Pegasys;1;6;55774500;11;;0.18 mg/ml;4;143,00;12;0;0;177
10083;Peginterferao alfa-2b;PegIntron;4;8;550799199;8;;0.05 mg/0.5 ml;1;45,00;1;0;0;137
10084;Peginterferao alfa-2b;PegIntron;15;4;700123207;4;;0.08 mg/0.5 ml;2;149,00;11;0;0;137
10085;Peginterferao alfa-2b;PegIntron;6;0;930193621;8;;0.1 mg/0.5 ml;1;100,00;14;0;0;137
10086;Peginterferao alfa-2b;PegIntron;6;8;848020605;19;;0.12 mg/0.5 ml;5;87,00;13;0;0;137
10087;Peginterferao alfa-2b;PegIntron;8;0;980545357;7;;0.15 mg/0.5 ml;7;62,00;4;0;0;137
10088;Peginterferao alfa-2b;ViraferonPeg;14;3;630720702;3;;0.05 mg/0.5 ml;0;122,00;8;0;0;137
10089;Peginterferao alfa-2b;ViraferonPeg;3;8;771037045;19;;0.08 mg/0.5 ml;7;7,00;13;0;0;137
10090;Peginterferao alfa-2b;ViraferonPeg;2;1;172130142;7;;0.1 mg/0.5 ml;4;76,00;5;0;0;137
10091;Peginterferao alfa-2b;ViraferonPeg;2;0;186771092;0;;0.12 mg/0.5 ml;2;85,00;2;0;0;137
10092;Peginterferao alfa-2b;ViraferonPeg;11;8;43922462;4;;0.15 mg/0.5 ml;6;135,00;1;0;0;137
10093;Pegvisomant;Somavert;2;6;515020954;10;;10 mg;0;25,00;6;0;0;155
10094;Pegvisomant;Somavert;1;0;453560776;5;;15 mg;7;142,00;7;0;0;155
10095;Pegvisomant;Somavert;2;9;109047333;8;;20 mg;6;88,00;9;0;0;155
10096;Pemetrexedo;Alimta;12;9;286359355;8;;100 mg;4;62,00;2;0;0;149
10097;Pemetrexedo;Alimta;4;7;408585564;6;;500 mg;7;133,00;6;0;0;149
10098;Penciclovir;Fenivir;14;7;912376961;8;;10 mg/g;7;146,00;1;0;0;67
10099;Penicilamina;Kelatine;8;10;922893792;17;;300 mg;3;48,00;2;0;0;55
10100;Penicilamina;Trolovol;4;0;156099806;13;;300 mg;4;144,00;2;0;0;55
10101;Pentetreotida de indio (111In);Octreoscan;15;1;403121995;8;;122 MBq + 10 µg;6;13,00;9;0;0;169
10102;Pentostatina;Nipent;10;2;222287647;6;;10 mg;7;124,00;11;0;0;156
10103;Pentoxifilina;Claudicat;1;10;256022334;8;;400 mg;5;92,00;2;0;0;45
10104;Pentoxifilina;Claudicat;1;3;691872005;18;;600 mg;6;52,00;2;0;0;45
10105;Pentoxifilina;Pentoxifilina Generis 400 mg Comprimidos de Libertacao Modificada;7;7;53262791;7;;400 mg;6;14,00;2;1;1;45
10106;Pentoxifilina;Pentoxifilina Labesfal 400 mg Comprimidos de libertacao modificada;15;5;88043535;12;;400 mg;4;57,00;2;1;1;45
10107;Pentoxifilina;Trental;13;9;482784196;5;;400 mg;1;55,00;2;0;0;45
10108;Pentoxifilina;Trental;12;3;437356086;16;;100 mg/5 ml;1;65,00;11;0;0;177
10109;Perflutreno;Luminity;11;1;134470636;12;;150 µl/ml;7;42,00;8;0;0;183
10110;Perflutreno;Optison;1;7;35914757;18;;0.22 mg/ml;6;19,00;11;0;0;205
10111;Pergolida;Pergolida Generis;3;9;158370472;4;;0.05 mg;7;8,00;2;1;1;41
10112;Pergolida;Pergolida Generis;10;10;680657448;3;;0.25 mg;0;17,00;2;1;1;41
10113;Pergolida;Pergolida Generis;6;4;798781260;8;;1 mg;3;85,00;2;1;1;41
10114;Pergolida;Pergolida Mylan;10;2;19922054;11;;0.05 mg;4;139,00;2;1;1;41
10115;Pergolida;Pergolida Mylan;1;9;939019637;16;;0.25 mg;5;6,00;2;1;1;41
10116;Pergolida;Pergolida Mylan;6;9;466663117;10;;1 mg;5;107,00;2;1;1;41
10117;Pergolida;Permax;6;5;448081559;4;;0.05 mg;7;60,00;2;0;0;41
10118;Pergolida;Permax;12;7;331402479;1;;0.25 mg;6;127,00;2;0;0;41
10119;Pergolida;Permax;8;0;696468767;12;;1 mg;0;137,00;2;0;0;41
10120;Perindopril;Coversyl;10;2;590512118;13;;2 mg;2;22,00;2;0;0;41
10121;Perindopril;Coversyl;12;8;545532829;8;;4 mg;7;67,00;2;0;0;41
10122;Perindopril;Coversyl;13;6;521362649;15;;10 mg;2;73,00;2;0;0;51
10123;Perindopril;Coversyl;2;8;263750273;14;;2.5 mg;3;3,00;2;0;0;51
10124;Perindopril;Coversyl;7;8;884567433;0;;5 mg;7;52,00;2;0;0;51
10125;Perindopril;Coversyl 10 mg;3;5;849318561;0;;10 mg;2;93,00;2;0;0;56
10126;Perindopril;Coversyl 2,5 mg;8;5;504132757;2;;2.5 mg;3;116,00;2;0;0;56
10127;Perindopril;Coversyl 5 mg;12;4;616064752;6;;5 mg;0;107,00;2;0;0;56
10128;Perindopril;Coversyl Forte;1;11;893777489;9;;8 mg;3;115,00;2;0;0;41
10129;Perindopril;Perindopril Actavis;9;8;117097714;0;;2 mg;7;114,00;2;1;1;41
10130;Perindopril;Perindopril Actavis;10;9;583370196;14;;4 mg;2;31,00;2;1;1;41
10131;Perindopril;Perindopril Actavis;14;1;671555719;5;;8 mg;1;139,00;2;1;1;41
10132;Perindopril;Perindopril Farmoz;8;5;787918184;7;;2 mg;1;75,00;2;1;1;41
10133;Perindopril;Perindopril Farmoz;10;0;888627501;19;;4 mg;1;49,00;2;1;1;41
10134;Perindopril;Perindopril Farmoz;5;3;627136115;18;;8 mg;3;138,00;2;1;1;41
10135;Perindopril;Perindopril Generis;14;2;180845835;6;;2 mg;4;61,00;2;1;1;41
10136;Perindopril;Perindopril Generis;6;11;264188314;4;;4 mg;2;146,00;2;1;1;41
10137;Perindopril;Perindopril Generis;12;1;159560942;2;;8 mg;5;31,00;2;1;1;41
10138;Perindopril;Perindopril Inventis;9;3;60731969;10;;2 mg;6;98,00;2;1;1;41
10139;Perindopril;Perindopril Inventis;15;10;950770699;9;;4 mg;5;4,00;2;1;1;41
10140;Perindopril;Perindopril Krka;9;9;392399006;10;;2 mg;1;98,00;2;1;1;41
10141;Perindopril;Perindopril Krka;4;2;441446819;10;;4 mg;1;5,00;2;1;1;41
10142;Perindopril;Perindopril Krka;2;4;14908527;1;;8 mg;1;149,00;2;1;1;41
10143;Perindopril;Perindopril Parke-Davis;5;5;304970063;11;;4 mg;4;8,00;2;1;1;41
10144;Perindopril;Perindopril Parke-Davis;2;5;743074138;0;;8 mg;5;96,00;2;1;1;41
10145;Perindopril;Perindopril Ripax;12;0;171121151;14;;2 mg;4;11,00;2;1;1;41
10146;Perindopril;Perindopril Ripax;10;1;864650129;5;;4 mg;0;34,00;2;1;1;41
10147;Perindopril;Perindopril Ripax;7;1;104994397;2;;8 mg;6;117,00;2;1;1;41
10148;Perindopril;Perindopril Tensoliber;15;1;684589000;7;;2 mg;0;149,00;2;1;1;41
10149;Perindopril;Perindopril Tensoliber;12;6;23541990;5;;4 mg;3;129,00;2;1;1;41
10150;Perindopril;Perindopril Tensoliber;9;10;366266276;14;;8 mg;5;139,00;2;1;1;41
10151;Perindopril;Perindopril ToLife;5;0;869641411;17;;4 mg;7;143,00;2;1;1;41
10152;Perindopril;Perindopril ToLife;8;4;607152793;6;;8 mg;6;33,00;2;1;1;41
10153;Perindopril;Perindopril arrowblue;13;0;337283463;16;;2 mg;1;145,00;2;1;1;41
10154;Perindopril;Perindopril arrowblue;8;7;743626718;1;;4 mg;1;64,00;2;1;1;41
10155;Perindopril;Perindopril arrowblue;7;4;949931485;18;;8 mg;5;150,00;2;1;1;41
10156;Perindopril;Perindopril ratiopharm;6;9;700110654;6;;8 mg;5;81,00;2;1;1;41
10157;Perindopril;Perindopril ratiopharm 4 mg Comprimidos;12;11;871489336;10;;4 mg;0;109,00;2;1;1;41
10158;Perindopril;Prindex;2;5;493006780;11;;2 mg;6;85,00;2;1;1;41
10159;Perindopril;Prindex;15;0;198182088;4;;4 mg;7;112,00;2;1;1;41
10160;Perindopril;Prindex;10;10;321315408;13;;8 mg;7;131,00;2;1;1;41
10161;Perindopril + Amlodipina;Coveram;15;8;80809948;18;;10 mg + 10 mg;3;148,00;2;0;0;41
10162;Perindopril + Amlodipina;Coveram;3;4;802743129;20;;10 mg + 5 mg;4;78,00;2;0;0;41
10163;Perindopril + Amlodipina;Coveram;11;0;752631888;1;;5 mg + 10 mg;3;47,00;2;0;0;41
10164;Perindopril + Amlodipina;Coveram;15;9;79939731;7;;5 mg + 5 mg;5;31,00;2;0;0;41
10165;Perindopril + Amlodipina;Mixanval;6;9;566502878;4;;10 mg + 10 mg;6;58,00;2;0;0;41
10166;Perindopril + Amlodipina;Mixanval;13;9;276410613;18;;10 mg + 5 mg;2;79,00;2;0;0;41
10167;Perindopril + Amlodipina;Mixanval;10;11;863002132;0;;5 mg + 10 mg;2;135,00;2;0;0;41
10168;Perindopril + Amlodipina;Mixanval;11;11;630468282;15;;5 mg + 5 mg;6;36,00;2;0;0;41
10169;Perindopril + Indapamida;Bi Preterax;15;0;977775239;0;;4 mg + 1.25 mg;6;39,00;2;0;0;41
10170;Perindopril + Indapamida;Bi predonium;10;2;789791914;16;;4 mg + 1.25 mg;5;20,00;2;0;0;41
10171;Perindopril + Indapamida;Noliterax;14;5;23221000;0;;8 mg + 2.5 mg;5;133,00;2;0;0;41
10172;Perindopril + Indapamida;Perindopril + Indapamida 1APharma;8;5;798315480;5;;2 mg + 0.625 mg;2;12,00;2;1;1;41
10173;Perindopril + Indapamida;Perindopril + Indapamida 1APharma;7;7;529421795;14;;4 mg + 1.25 mg;7;117,00;2;1;1;41
10174;Perindopril + Indapamida;Perindopril + Indapamida Arrowblue;2;0;858168659;0;;2 mg + 0.625 mg;0;87,00;2;1;1;41
10175;Perindopril + Indapamida;Perindopril + Indapamida Arrowblue;3;4;429052582;10;;4 mg + 1.25 mg;2;119,00;2;1;1;41
10176;Perindopril + Indapamida;Perindopril + Indapamida Farmoz;2;9;575417720;14;;2 mg + 0.625 mg;0;3,00;2;1;1;41
10177;Perindopril + Indapamida;Perindopril + Indapamida Farmoz;10;10;603136989;18;;4 mg + 1.25 mg;5;97,00;2;1;1;41
10178;Perindopril + Indapamida;Perindopril + Indapamida Generis;14;3;747760294;20;;2 mg + 0.625 mg;2;37,00;2;1;1;41
10179;Perindopril + Indapamida;Perindopril + Indapamida Generis;9;2;96498372;7;;4 mg + 1.25 mg;7;33,00;2;1;1;41
10180;Perindopril + Indapamida;Perindopril + Indapamida Imprex;8;11;758335166;1;;2 mg + 0.625 mg;6;34,00;2;1;1;41
10181;Perindopril + Indapamida;Perindopril + Indapamida Imprex;1;4;829236719;8;;4 mg + 1.25 mg;3;2,00;2;1;1;41
10182;Perindopril + Indapamida;Perindopril + Indapamida Krka;9;2;656593944;15;;2 mg + 0.625 mg;7;132,00;2;1;1;41
10183;Perindopril + Indapamida;Perindopril + Indapamida Krka;7;6;452632154;20;;4 mg + 1.25 mg;3;72,00;2;1;1;41
10184;Perindopril + Indapamida;Perindopril + Indapamida Prilpa;8;7;512313987;7;;2 mg + 0.625 mg;0;69,00;2;1;1;41
10185;Perindopril + Indapamida;Perindopril + Indapamida Prilpa;5;5;592825078;0;;4 mg + 1.25 mg;3;27,00;2;1;1;41
10186;Perindopril + Indapamida;Perindopril + Indapamida Ratiopharm;1;8;953991424;14;;2 mg + 0.625 mg;3;74,00;2;1;1;41
10187;Perindopril + Indapamida;Perindopril + Indapamida Ratiopharm;9;6;323151713;3;;4 mg + 1.25 mg;4;53,00;2;1;1;41
10188;Perindopril + Indapamida;Perindopril + Indapamida Sandoz;5;7;766060799;15;;2 mg + 0.625 mg;1;102,00;2;1;1;41
10189;Perindopril + Indapamida;Perindopril + Indapamida Sandoz;9;8;112794180;9;;4 mg + 1.25 mg;4;59,00;2;1;1;41
10190;Perindopril + Indapamida;Perindopril + Indapamida Servier;4;1;72271750;5;;8 mg + 2.5 mg;6;131,00;2;0;0;41
10191;Perindopril + Indapamida;Perindopril + Indapamida Statim;2;4;439178147;5;;2 mg + 0.625 mg;4;109,00;2;1;1;41
10192;Perindopril + Indapamida;Perindopril + Indapamida Statim;3;1;419010307;10;;4 mg + 1.25 mg;5;145,00;2;1;1;41
10193;Perindopril + Indapamida;Perindopril + Indapamida Tecazo;13;7;389204576;3;;2 mg + 0.625 mg;2;56,00;2;1;1;41
10194;Perindopril + Indapamida;Perindopril + Indapamida Tecazo;9;3;411977043;5;;4 mg + 1.25 mg;3;114,00;2;1;1;41
10195;Perindopril + Indapamida;Perindopril + Indapamida ToLife;10;3;616510437;9;;2 mg + 0.625 mg;1;78,00;2;1;1;41
10196;Perindopril + Indapamida;Perindopril + Indapamida ToLife;7;3;388881227;1;;4 mg + 1.25 mg;0;67,00;2;1;1;41
10197;Perindopril + Indapamida;Predonium;9;0;69661605;14;;2 mg + 0.625 mg;7;116,00;2;0;0;41
10198;Perindopril + Indapamida;Predonium;6;7;348256117;0;;10 mg + 2.5 mg;2;94,00;2;0;0;56
10199;Perindopril + Indapamida;Predonium;5;5;309744342;20;;2.5 mg + 0.625 mg;1;79,00;2;0;0;56
10200;Perindopril + Indapamida;Predonium;6;2;99924239;16;;5 mg + 1.25 mg;6;9,00;2;0;0;56
10201;Perindopril + Indapamida;Preterax;3;2;119664192;17;;2 mg + 0.625 mg;2;69,00;2;0;0;41
10202;Perindopril + Indapamida;Preterax;7;1;305244046;2;;10 mg + 2.5 mg;5;82,00;2;0;0;56
10203;Perindopril + Indapamida;Preterax;1;11;873646250;16;;2.5 mg + 0.625 mg;1;36,00;2;0;0;56
10204;Perindopril + Indapamida;Preterax;13;0;701984990;4;;5 mg + 1.25 mg;1;90,00;2;0;0;56
10205;Permetrina;Nix;14;3;268977636;17;;10 mg/g;0;62,00;1;0;0;67
10206;Permetrina;Quitoso;15;6;61781409;10;;10 mg/g;5;57,00;13;0;0;79
10207;Peroxido de benzoilo;Benoxygel;12;5;732070913;3;;100 mg/g;7;15,00;10;0;0;86
10208;Peroxido de benzoilo;Benoxygel;11;11;967602927;20;;50 mg/g;0;141,00;12;0;0;86
10209;Peroxido de benzoilo;Benzac 5;3;2;558620183;10;;50 mg/g;1;130,00;12;0;0;86
10210;Peroxido de benzoilo;Benzac Wash 5;15;6;437781904;7;;50 mg/g;5;4,00;6;0;0;86
10211;Peroxido de benzoilo;Eclaran 5;8;9;946098081;6;;50 mg/g;0;68,00;2;0;0;86
10212;Peroxido de benzoilo;Panoxyl Wash;12;4;15589705;0;;100 mg/ml;5;10,00;8;0;0;122
10213;Peroxido de benzoilo;Peroxiben;9;5;918947274;2;;100 mg/g;4;25,00;14;0;0;86
10214;Peroxido de benzoilo;Peroxiben;15;9;743568946;9;;25 mg/g;2;11,00;3;0;0;86
10215;Peroxido de benzoilo;Peroxiben;6;5;488885433;9;;50 mg/g;7;106,00;2;0;0;86
10216;Peroxido de hidrogenio;Crystacide;6;0;984602547;17;;10 mg/g;7;138,00;1;0;0;67
10217;Petidina;Petidina-Labesfal;8;11;912604881;13;;100 mg/2 ml;0;89,00;14;0;0;177
10218;Petidina;Petidina-Labesfal;9;0;432199981;5;;200 mg/2 ml;5;56,00;12;0;0;177
10219;Petidina;Petidina-Labesfal;9;6;996756688;18;;50 mg/1 ml;0;81,00;2;0;0;177
10220;Petidina;Petidina-Labesfal;13;0;483985762;5;;50 mg/2 ml;4;57,00;10;0;0;177
10221;Phleum pratense;Grazax;2;7;578422574;15;;75000 SQ-T;7;31,00;9;0;0;120
10222;Phleum pratense;Phleum pratense Soluprick;12;9;758167994;15;;10 U/ml;3;5,00;6;0;0;196
10223;Picetoprofeno;Picalm;4;7;316285990;20;;18 mg/g;4;123,00;1;0;0;67
10224;Picetoprofeno;Picalm;7;8;750388817;2;;20 mg/ml;0;45,00;11;0;0;195
10225;Picetoprofeno;Zemalex;9;10;196731722;10;;18 mg/g;5;95,00;1;0;0;67
10226;Picetoprofeno;Zemalex;11;5;850657356;9;;20 mg/ml;1;74,00;4;0;0;195
10227;Picossulfato de sodio;Dulcogotas;9;10;542035457;11;;7.5 mg/ml;2;13,00;12;0;0;103
10228;Picossulfato de sodio;Fructines;7;6;488083264;0;;5 mg;3;88,00;2;0;0;52
10229;Picossulfato de sodio;Guttalax Capsulas;6;9;984097393;7;;2.5 mg;1;31,00;2;0;0;32
10230;Picossulfato de sodio;Laxodal;4;10;378591085;3;;7.5 mg/ml;7;106,00;14;0;0;180
10231;Picossulfato de sodio;Picolax;14;7;679296744;20;;5 mg;5;82,00;10;0;0;130
10232;Pidolato de calcio + Colecalciferol;Pausedal;12;1;506296308;0;;4500 mg + 4 mg;4;99,00;7;0;0;109
10233;Pidolato de magnesio;Magnesona;5;5;246685802;1;;1500 mg/10 ml;1;129,00;3;0;0;180
10234;Pilocarpina;Salagen;1;5;390159919;14;;5 mg;4;42,00;2;0;0;56
10235;Pimecrolimus;Aregen;5;9;703595881;10;;10 mg/g;2;124,00;1;0;0;67
10236;Pimecrolimus;Elidel;7;11;5216586;0;;10 mg/g;2;25,00;1;0;0;67
10237;Pimozida;Orap Forte;11;3;636243540;15;;4 mg;4;102,00;2;0;0;41
10238;Pioglitazona;Actos;4;2;72405223;9;;15 mg;4;127,00;2;0;0;41
10239;Pioglitazona;Actos;1;6;694881229;9;;30 mg;4;98,00;2;0;0;41
10240;Pioglitazona;Actos;5;0;569971969;14;;45 mg;3;55,00;2;0;0;41
10241;Pioglitazona;Glustin;13;8;206195566;9;;15 mg;1;80,00;2;0;0;41
10242;Pioglitazona;Glustin;4;9;743667630;11;;30 mg;6;78,00;2;0;0;41
10243;Pioglitazona;Glustin;3;5;440624318;16;;45 mg;6;18,00;2;0;0;41
10244;Piperacilina + Tazobactam;Piperacilina + Tazobactam APS;11;4;842176021;15;;2000 mg + 250 mg;6;20,00;14;1;1;155
10245;Piperacilina + Tazobactam;Piperacilina + Tazobactam Actavis;11;6;332927677;13;;2000 mg + 250 mg;2;115,00;14;1;1;156
10246;Piperacilina + Tazobactam;Piperacilina + Tazobactam Actavis;11;5;623895328;14;;4000 mg + 500 mg;2;53,00;9;1;1;156
10247;Piperacilina + Tazobactam;Piperacilina + Tazobactam Aurobindo;7;9;73780100;14;;2000 mg + 250 mg;6;119,00;9;1;1;156
